question,base,read
레르도의 군대가 디아스의 군대에게 대패한 곳은?,테코아쿠,탄호아 지방
어버이새가 새끼들의 먹이를 보관하는 곳은?,위장,복강
매우 센 중력에 의해 빛이 탈출하지 못하는 천체는?,블랙 홀,블랙홀
국내무사가 체포 활동에 참가한 것은 무엇 때문인가?,악천후,계곡 전역에서의 긴장
주권재민의 원칙은 어디에 명시되어 있는가?,헌법,프라하 선언
공원으로 변화되는 곳은?,다운타운,유즈키 성터
일부 볼펜에서 잉크가 비교적 빨리 건조되기 위해 사용되는 것은?,하이브리드 잉크,가압 카트리지
"베니 간츠가 리쿠드당과 같은 노선을 밟겠다는 입장을 표명한 이후, 청백당을 나갔던 인물은?",예시 아티드랑 텔렘당,가 베냐민 네타냐후
태사 백은 환공의 질문에 왜 남쪽이 부적절하다고 답하였는가?,반나절,서쪽
베르니이헝 조약이 체결된 해는 언제인가?,1905년,1961년
총 14만 명의 인도인들이 영국 전쟁의 지원을 위해 보내졌던 곳은?,유럽의 서부 전선,BBC 텔레비전 센터
할릴자드 대사와 정치적 이야기를 나눈 아프간 대통령은?,하미드 카르자이,블라디미르 푸틴 대통령
몇 년간의 전쟁을 통해 '귀방'이라 불리는 이민족이 정벌되었는가?,2008년,경쟁
적이 항복 의사를 밝히며 다가오고 있음을 대대장에게 보고한 사람은?,제5중대장 김상흥 대위,제7연대장 임부택
붉은자이언트날다람쥐 암컷의 일 년 평균 번식 횟수는?,한 번,여름
1919년 정광조의 보직은?,총독부 정무총감,뮌헨의 제1바이에른 보병연대의 중대장
상류 부르주아의 정치 독점을 불러일으킨 체계는?,자본주의적 소유 구조,91년 체제
진홍빛 장미가 만들어진 원인을 제공한 자는?,나이팅게일,비너스
김옥균이 암살을 피하기 위해 돌아다닌 곳은?,도쿄의 윤락가,도심 한복판 강가
판 호이동크에게 어시스트를 해준 선수는?,세르게이 곤차르와 함께 알렉산드르 오베치킨,스테판 세세뇽의
임경업 장군이 도를 닦은 곳으로 알려진 곳은?,입석대,영산사
전쟁에서 군인들의 삶을 보여주는 주요 등장인물은 누구인가요?,안드레아스,민씨 척족과 명성황후
핀란드의 원주민들이 부족사회에서 벗어난 것은 언제인가?,1917년,.
창원평야 구릉의 평평한 지형에서 발견된 흔적을 통해 성이 언제 지어졌다는 것을 알 수 있는가?,6세기 경,1770년대
날개 앞쪽으로 연꽃을 들고 있는 인면조가 그려진 백제의 유물은 무엇인가?,동탁은잔(銅托銀盞),동탁은잔
임규남이 병원에 입원하는 바람에 해고 당한 직장은?,치차 직장,외과 의사
화재에서 인종을 구한 공으로 귀인으로 직위가 오른 사람은?,적대,숙의 정씨
쓰루가 방면의 신쾌속 열차가 특급 선더버드 호의 추월을 위해 대기할 때는 언제인가?,오미이마즈 역에서 병결 및 분리를 하는 동안,중간역
횡령 범죄자 조니를 체포한 요원은 누구인가?,램버트,미국 기병대
관음정사 존상은 무엇으로 만들어졌나요?,석재,지장보살상
버섯왕국의 피치 공주를 납치한 악당 거북의 이름은?,"쿠파(クッパ, Bowser)",쿠파
헌제는 추격을 당하다 누구에게 도움을 청하였나요?,황조,에이리크
슈타우펜베르크는 들 것에 실려나온 사람이 무엇을 덮고 있는 것을 보고 히틀러의 죽음을 단정했나?,서류 가방,히틀러의 외투
프리덤 건담의 이름을 지은 사람은?,라크스 클라인,바바 토시아키
윤치호가 사촌동생을 통해 만나려고 했던 인물은?,피아니스트 윤기선,패로
튀폰의 아버지는 누구인가?,가이아,브로드
국민회의 측이 비판한 대통령의 발언은 언제 한 발언이었나?,1995년 8월,지난 24일
아시노 호가 만들어진 원인은 무엇인가?,홍수,하코네 산의 화산 폭발
"조청상민수륙무역장정중의 8개조중, 장정의 개정에 대한 조항은?",제7조,제8조
강현의 아들 이름은?,김병팔,아킬레우스
레이크가 가장 큰 영향을 받았다고 한 작품의 이름은?,보러블 3부작,메탈리카
철툇자루를 제작하는데 주로 활용된 재료는?,쇠고리,자갈
베토벤의 귀 상태가 악화된 연도는?,1827년,1802년
양인 전투에서 손견군과 충돌한 부대는?,유표군,미군 제29보병연대
"본인의 일에 진중하게 임했고 많은 것을 연습했지만, 자신의 옷차림에 불만을 제기했던 인물은?",타오,를르네 지카르트
도쇼구 역의 승강장은 몇 층에 있는가?,지상 1층,"윗층에, 외곽 방면 오렌지 선 코트베르튀와 녹색 선 앙그리뇽 방면은 아랫층"
청구취지는 밝히는 방법은?,주문에 대응하는 형식,과학적 방법
1998년 5월에 리치먼드와 함께 워싱턴 위저즈로 팀을 옮긴 사람은?,크리스 웨버,오티스 소프
사이트에 올라오는 콘텐츠를 검열하는 주체는 누구인가?,퍼블리셔,보안 업계
2012년 런던 올림픽 결승전에서 리네르에게 패한 사람은 누구인가?,미하일린,헬렌 오비리에
유달산에서 다도해 절경을 볼 수 있는 바위는 무엇인가?,228m,일등바위
알레르기를 관리하는 계획에는 어떤 호르몬을 투여하는 것도 포함되는가?,hCG (human chorionic gonadotropin)가 포함된 Pregnyl,아드레날린
인민군이 세르비아를 확장하는 쪽으로 돌아서게 만든 사람은?,밀로셰비치,안익조
종교 개혁 전 영국에서 인기를 끌었던 헌신은?,32,마리아의 다섯 가지 기쁨
미자르는 무엇의 일부인가?,왕국,큰곰자리 운동성군
키요미와 자신이 아끼는 2명을 지키기 위해 목숨도 아까워 하지 않은 사람은?,지크 예거,라르손
한국에서 음식을 올려놓을때 쓰이는 세간의 이름은 무엇인가요?,'규곤시의방',코카나무
<바다의 일꾼들>이 나온 연도는?,2006년,위고의 망명기에
대한민국 보물 제 1540호를 보관하는 장소는 어디인가?,서강대학교 도서관,직지사 비로전 앞
유령'은 어느 행성에서 지구로 왔는가?,금성,갈리프레이 행성
노르웨이 노르카프에서는 어느 계절에 백야를 항상 볼 수 있나요?,여름철,마롱
레이가 골트 이후에 사용한 가짜 이름은 무엇인가요?,카밀로 골지(Camillo Golgi),"""에릭 스타보 골트"""
미종예의 전신은 무엇인가?,육군사관학교,정무체육회
처음으로 염색된 섬유가 발견되었던 장소는?,에케클러스,드주드주아나의 동굴
예수의 테오토코스에 대해 부정적으로 인식했던 인물은?,네스토리우스,게자 베르메스
107고지를 처음 함락시킨 부대는?,북한군,좌일선의 제1대대
미자가 일을 때려친 것은 누구 때문인가?,북한군,강 노인
윤치호가 고종 독살설을 믿게된 것은 누구 때문인가?,사돈인 한진창,한진창
아즈마의 초기 명칭은?,'영혼의 의식',빛의 경기장(Stade des Lumières)
고구려와 당나라 사이에 4대 전투 중 유일하게 다른 해에 일어난 전투는?,금산전투,"신성,건안성 전투"
비자나무의 열매는 어떤 증상을 치료하기 위해 쓰이나요?,기생충,동맥경화증
연방군의 레이다를 무력화시킨 화학무기는?,'검은 3연성',특수 미사일
하나를 철거하면 열을 건다' 운동에 사용된 플랜카드의 내용은?,'마카오도 참된 보통 선거를 원한다','나는 참된 보통 선거를 원한다 (我要真普選)'
자미토프가 개혁을 강행하기 위해 설립한 사병 집단은?,라인하르트 연대,특수부대「티탄즈」
2012년에 공금횡령의 죄목으로 김모씨의 긴급 체포를 진행한 집단은?,광주지방검찰청 순천지청,전라북도청
신돈의 어미니는 어느 곳에 소속된 노비인가?,절,동지밀직
19세 이하 남녀가 한국대표로 참가할 수 있는 대회는?,2008년 동아시아 축구 선수권 대회,리틀 미스 루미에르 인터내셔널 월드대회
용병회사의 경기가 좋아진 것은 무엇이 끝난 이후부터인가?,냉전 종식,월드컵
삼한총왕설의 근거를 제공한 서적은?,<삼국지>,『열린 사회와 그 적들』(The Open Society and Its Enemies)
2016시즌 당시 테일러는 누구 대신 주전이 되었나?,공민현,이지 크리스천슨
카쿠와 로브 루치의 현재 신분은?,자루트부 보르지기트 부유란,CP0의 요원
오에카키라는 이름의 모티브는?,OekakiBBS,'불고기'
무엇이 창 아래에 설치되어 표시기가 한 개 늘어났는가?,승무원실 칸막이 출입문 창,쉴드 빔
에이몬 b. 킹을 파견한 사람은?,마차를 끄는 소부대,"제임스 패닌 대령과 그의 병사들은 옛 프레시디오 라 바이아 요새를 보강하여, ""디파이언스 요새""로 이름을 바꾸었다. 초기 교전에서 프랜크 W. 존슨과 제임스 그랜트 지휘 하에 텍사스군이 포로로 잡혔다는 비운의 소식은 골리아드에 모인 지원병들에게 자극을 주기는커녕 오히려 혼란시켰다. 설상가상으로 우레아 장군의 진군으로 반란을 지지했던 정착민이 위기에 처해있다는 것을 패닌은 알았다.\n\n3월 10일, 그는 남겨진 가족을 구출하고 골리아드로 안내하기 위해서"
미국 국민들이 일본 대지진에 대한 관심을 갖도록 만드는 데 도움을 준 미국의 인물은?,토머스 제퍼슨 대통령,찰스 헨리 리
광운전자공과대학 이전에 사용되던 명칭은 무엇인가요?,Vytautas Magnus,'관훈동 이진승가옥'
사라스테의 후임은 누구인가?,마놀로 비야노바,존 히켄루퍼
여호와가 기드온의 조상을 어디에서 구해냈는가?,애굽,오하이오주 데이턴
가트나는 2020년에 사물 인터넷 기술을 사용하는 사물은 몇 개일거라 예측했나?,260억 개,128억 달러
한국이 무시한 일본 측의 주장은?,불화 수소,수상 아베 신조
니콜라 요셉이 벨기에에 돌아가도록 결정적인 영향을 준 기사를 내보낸 사람은?,앙리 블랑슈,파리 음악잡지의 편집장인 앙리 블랑슈
조선역사를 수호하는데 위기를 제공한 사람은?,석유재벌 '마그넷 주니어',고구려
셰익스피어의 <<실수 연발>>에서 두 쌍의 쌍둥이 형제들이 재회하는 장소는?,프레드릭 공작은 딸 실리아의 간청으로 조카 로절린드만은 궁,에베소
분류 작업 중 일정한 시점에 미리 종료함으로써 속도를 올릴 수 있는 것은?,반응성이 큰 중간체의 농도,가속화 분류기
이규완이 강원도에 철도 건설을 제안할 당시 직책은 무엇이었는가?,강원도 관찰사,"강원도관찰사로 재임 당시 그는 춘천을 중심으로 한 경성(서울)∼양양과 원주∼금화(철원)를 잇는 열십자(十)형 철도 부설 계획을 세웠다. 그러나 한일 합방 조약으로 그의 계획은 수포로 돌아간다.\n\n1910년(융희 4년) 10월 1일 한일 합방이 되자 그는 이를 당연한 것으로 여겼다. 평소 '게으른 본성'을 가진 조선민족에게 독립될 자격이 없다고 확신했던 그는 , 한일 합방을 조선인의 게으름과 탐욕, 부패함이 불러낸 당연한 결과물로 인식하였다. 10월 1일 한일 합방 조약 체결과 동시에 그는 조선총독부고등관에 임용되고 강원도도장관"
기븐 가의 첫째 아들은 누구인가?,니,이선 앨런
기독교와 메시아에 대한 생각이 다른 사람들은?,유태인,유대 기독교인
마켓가든 작전을 다룬 작품은?,《몰타의 유대인》,이라크 전쟁
도룡뇽이 수분 증발을 예방하고 몸이 마르지 않도록 내뿜는 것은?,열,차가운 점액
코페르니쿠스가 겨울 학기에 등록한 대학은 무슨 대학으로 불리기도 하는가?,파도바 대학,크라쿠프 대학
미나미 칸토 대회에서 구마가야 고등학교의 1차전 상대 학교는?,PL가쿠엔 고등학교,도야마 상업고등학교
경찰은 어떤 기관의 GPS를 이용하여 오원춘을 체포할 수 있었나요?,소방방재센터,IDEAS 2004 전시회
윤치호가 '질곡의 인디아' 저자를 만났던 해는?,1899년,1934년
제임스 와트와 같은 역사적인 발명가를 배출한 곳은 어디인가요?,글래스고 대학교,공장
오가키로 향하는 아보시 발 도카이도 본선 기차를 운영하는 때는?,'문 라이너 나가라',3편
하이네스에게 화염의 힘을 받은 인물은 누구인가요?,거인,조조
제2군에 참여한 일본의 유명인사 중 군인 신분으로 참여한 사람은 누구인가?,유재흥,아더 필립(Arthur Phillip)
국사가 국내 인부 동원의 권한을 얻는 계기가 된 사건이 일어난 곳은?,추포관부,북 리치몬드
영화 <제7의 봉인>의 제목의 모티브가 된 것은?,흑사병,《모비딕》
나카무라 번이 메이지 정부에 굴복하게 된 결투의 이름은 무엇인가요?,보신 전쟁,아이즈 전쟁
금동관음보살입상이 처음 발견된곳으로 추정되는곳은?,경상남도 의령군 대의면,실험실
대성전의 전면 퇴칸을 제외한 면에 만들어진 것은?,감실(龕室:불상을 모셔두는 방),측면
홉베마의 스승은 누구인가요?,호넨,마니 바드라라는 브라만
유럽에서 두 번째로 큰 국가에는 몇 개의 국립공원이 존재하는가?,독일,중국
선생님에게 창씨개명을 하지 않겠다고 한 사람은?,이경희,김수환
마가렛의 모친은 어떤 나라의 왕족이었나?,발해,잉글랜드 왕국
장면이 가족과 떨어져 거처를 옮긴 곳은?,포룸 로마눔,이마가와야카타(今川館)
이경언이 사망한 장소는?,폐암,강화부
